date,"Bear River (primary, near Corinne)_acft",Bear River (upstream gap-fill)_acft,Weber River (near Plain City)_acft,Jordan River (Surplus Canal)_acft,Jordan River (1700 South)_acft,TOTAL_INFLOW_cfs_acft
1971-11-01,172723.18,147215.37,24940.529000000002,15100.385500000002,9082.4465,369061.91099999996
1971-12-01,181986.125,155903.1,24063.822,20822.783,9834.193000000001,392610.023
1972-01-01,198032.63999999998,162408.98000000004,35389.606999999996,27415.937,10397.507,433644.67100000003
1972-02-01,166177.63000000003,144815.335,41522.589,27709.495000000003,9871.879500000001,390096.9285
1972-03-01,226198.33999999997,209219.58000000002,102963.485,32297.3305,9873.863,580552.5985
1972-04-01,247778.82,232505.87000000002,129264.69500000002,35510.6005,2318.7115000000003,647378.697
1972-05-01,251606.975,242939.08000000002,83957.588,23498.5245,8544.918,610547.0854999999
1972-06-01,181728.27000000002,171473.575,32870.562,27564.699500000002,8316.8155,421953.92199999996
1972-07-01,97679.44099999999,80486.463,4815.938,12985.9745,8665.9115,204633.728
1972-08-01,54113.847,46596.382,5964.3845,15542.706,8562.7695,130780.089
1972-09-01,115977.2285,102451.742,9032.859,16482.885000000002,10272.5465,254217.261
1972-10-01,129661.39499999996,114037.3655,24377.215,13227.9615,9752.8695,291056.8065
1972-11-01,149000.52000000002,132934.17,23415.217500000002,7838.7919999999995,9487.0805,322675.78
1972-12-01,146104.61,126249.775,26279.3915,7416.306499999999,8665.9115,314715.9945
1973-01-01,154117.95,135354.04000000004,35498.6995,14902.0355,8084.745999999999,347957.47099999996
1973-02-01,140035.1,127360.53500000002,34362.154,24539.861999999997,8003.422500000001,334301.0735
1973-03-01,201265.745,181113.385,54689.062,29347.866,9431.5425,475847.60049999994
1973-04-01,194085.475,178455.495,59707.317,33013.373999999996,7592.838,472854.499
1973-05-01,185734.94,166455.32,121112.51000000001,36964.506,7660.277,517927.5530000001
1973-06-01,54018.639,37273.932,37615.094000000005,28522.73,11508.267000000002,168938.662
1973-07-01,38735.7715,27614.287000000004,8354.502,18799.613,11208.7585,104712.932
1973-08-01,7898.297,1434.0705,6035.7905,13430.278500000002,10421.309,39219.7455
1973-09-01,84465.364,81202.5065,19537.475,19503.7555,10653.3785,215362.47950000004
1973-10-01,106652.795,98863.59049999999,30232.507,13674.248999999998,11018.3425,260441.48399999997
1973-11-01,96989.183,90110.405,30405.0715,17189.011000000002,11097.6825,245791.35300000003
1973-12-01,116907.49,111175.17499999999,25011.934999999998,21715.358000000004,11028.26,285838.218
1974-01-01,138249.95,122481.12500000001,36200.8585,32828.9085,10927.1015,340687.94350000005
1974-02-01,125991.92,112662.80000000003,31636.825,32694.030500000004,9506.9155,312492.491
1974-03-01,218740.38,208941.89,72143.862,39840.581,7967.719499999999,547634.4325
1974-04-01,194422.67,189602.765,104312.265,47691.274000000005,5113.463000000001,541142.437
1974-05-01,207255.915,194541.68000000002,146124.445,41217.130000000005,3838.0725,592977.2424999999
1974-06-01,149129.4475,140943.543,40108.3535,29885.394500000002,9693.364500000001,369760.10299999994
1974-07-01,43323.607,38118.903,4254.6075,14491.451000000001,10855.695500000002,111044.26400000002
1974-08-01,45396.364499999996,39273.3,3723.0295,13793.259,9294.681,111480.634
1974-09-01,62357.27300000001,55159.151500000014,5779.919000000001,14933.7715,10064.279,148294.394
1974-10-01,77179.9685,64259.449499999995,13384.658000000001,13051.430000000002,10228.9095,178104.4155
1974-11-01,79726.7825,68357.36050000001,13690.116999999998,7842.759000000001,8082.762500000001,177699.7815
1974-12-01,105978.40499999998,95108.825,14755.256500000001,8358.469000000001,7380.603499999999,231581.55899999998
